分类,故障模式,故障场景,故障注入手段,优先级,自动化状态,自动化用例路径,SMTX OS 5.1.0 测试,SMTX OS 5.0.6 测试,SMTX OS 5.1.1 测试,SMTX OS 6.0.0 测试
Zookeeper,kill -9,Zookeeper Leader 所在的节点上 kill -9 zookeeper 进程, kill -9 <pid>,P0,Automated,testcases.fault.node.service.fault_sigkill_process,,Y,,
Zookeeper,,持续 kill -9 Zookeeper Leader 所在的节点上的 zookeeper 进程，持续 5～60 分钟,,P1,Automated,testcases.fault.node.service.fault_sigkill_process,,,,
Zookeeper,,一个 Zookeeper Follower 所在的节点上 kill -9 zookeeper 进程,,P2,Automated,testcases.fault.node.service.fault_sigkill_process,,Y,,
Zookeeper,,持续 kill -9 一个 Zookeeper Follower 所在的节点上的 zookeeper 进程，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_sigkill_process,,,,
Zookeeper,,（5 主节点集群或双活集群）Zookeeper Leader 所在的节点和一个 Zookeeper Follower 所在的节点上同时 kill -9 zookeeper 进程,,P1,Automated,testcases.fault.node.service.fault_sigkill_process,,,,
Zookeeper,,（5 主节点集群或双活集群）持续同时 kill -9 Zookeeper Leader 所在的节点和一个 Zookeeper Follower 所在的节点上的 zookeeper 进程，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_sigkill_process,,,,
Zookeeper,,（5 主节点集群或双活集群）两个 Zookeeper Follower 所在的节点上同时 kill -9 zookeeper 进程,,P2,Automated,testcases.fault.node.service.fault_sigkill_process,,,,
Zookeeper,,（5 主节点集群或双活集群）持续同时 kill -9 两个 Zookeeper Follower 所在的节点上的 zookeeper 进程，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_sigkill_process,,,,
Zookeeper,kill -15,Zookeeper Leader 所在的节点上 kill -15 zookeeper 进程,kill -15 <pid>,P2,Automated,testcases.fault.node.service.fault_sigterm_process,,Y,,
Zookeeper,,持续 kill -15 Zookeeper Leader 所在的节点上的 zookeeper 进程，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_sigterm_process,,,,
Zookeeper,,一个 Zookeeper Follower 所在的节点上 kill -15 zookeeper 进程,,P2,Automated,testcases.fault.node.service.fault_sigterm_process,,Y,,
Zookeeper,,持续 kill -15 一个 Zookeeper Follower 所在的节点上的 zookeeper 进程，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_sigterm_process,,,,
Zookeeper,,（5 主节点集群或双活集群）Zookeeper Leader 所在的节点和一个 Zookeeper Follower 所在的节点上同时 kill -15 zookeeper 进程,,P2,Automated,testcases.fault.node.service.fault_sigterm_process,,,,
Zookeeper,,（5 主节点集群或双活集群）持续同时 kill -15 Zookeeper Leader 所在的节点和一个 Zookeeper Follower 所在的节点上的 zookeeper 进程，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_sigterm_process,,,,
Zookeeper,,（5 主节点集群或双活集群）两个 Zookeeper Follower 所在的节点上同时 kill -15 zookeeper 进程,,P2,Automated,testcases.fault.node.service.fault_sigterm_process,,,,
Zookeeper,,（5 主节点集群或双活集群）持续同时 kill -15 两个 Zookeeper Follower 所在的节点上的 zookeeper 进程，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_sigterm_process,,,,
Zookeeper,不可中断的睡眠状态（D 状态）,Zookeeper Leader 所在的节点上 zookeeper 进程进入 D 状态,,P1,Pending,,,,,
Zookeeper,,一个 Zookeeper Follower 所在的节点上 zookeeper 进程进入 D 状态,,P2,Pending,,,,,
Zookeeper,,（5 主节点集群或双活集群）Zookeeper Leader 所在的节点和一个 Zookeeper Follower 所在的节点上 zookeeper 进程同时进入 D 状态,,P2,Pending,,,,,
Zookeeper,,（5 主节点集群或双活集群）两个 Zookeeper Follower 所在的节点上 zookeeper 进程同时进入 D 状态,,P2,Pending,,,,,
Zookeeper,进程挂起（SIGSTOP）,Zookeeper Leader 所在的节点上 zookeeper 进程挂起（kill -19）,kill -SIGSTOP <pid>,P1,Automated,testcases.fault.node.service.fault_pause_process,,Y,,
Zookeeper,,一个 Zookeeper Follower 所在的节点上 zookeeper 进程挂起（kill -19）,,P2,Automated,testcases.fault.node.service.fault_pause_process,,Y,,
Zookeeper,,（5 主节点集群或双活集群）Zookeeper Leader 所在的节点和一个 Zookeeper Follower 所在的节点上 zookeeper 进程同时进程挂起（kill -19）,,P2,Automated,testcases.fault.node.service.fault_pause_process,,,,
Zookeeper,,（5 主节点集群或双活集群）两个 Zookeeper Follower 所在的节点上 zookeeper 进程同时进程挂起（kill -19）,,P2,Automated,testcases.fault.node.service.fault_pause_process,,,,
