分类,故障模式,故障场景,故障注入手段,优先级,自动化状态,自动化用例路径,SMTX OS 5.1.0 测试,SMTX OS 5.0.6 测试,SMTX OS 5.1.1 测试,SMTX OS 6.0.0 测试
网络隔离,断网（随机持续时间）,ZBS Metad Leader 所在的主节点的管理网络断网,iptables -A INPUT -i <interface> -j DROP,P0,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,ZBS Metad Leader 所在的主节点的存储网络断网,,P0,Automated,testcases.fault.node.network.fault_iptables_drop_reject,Y,,,
网络隔离,断网（随机持续时间）,ZBS Metad Leader 所在的主节点的迁移网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,ZBS Metad Leader 所在的主节点的接入网络断网,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个 ZBS Metad Follower 所在的主节点的管理网络断网,,P1,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个 ZBS Metad Follower 所在的主节点的存储网络断网,,P1,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个 ZBS Metad Follower 所在的主节点的迁移网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个 ZBS Metad Follower 所在的主节点的接入网络断网,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,Zookeeper Leader 所在的节点的管理网络断网,,P0,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,Y
网络隔离,断网（随机持续时间）,Zookeeper Leader 所在的节点的存储网络断网,,P0,Automated,testcases.fault.node.network.fault_iptables_drop_reject,Y,,,
网络隔离,断网（随机持续时间）,Zookeeper Leader 所在的节点的迁移网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,Zookeeper Leader 所在的节点的接入网络断网,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个 Zookeeper Follower 所在的节点的管理网络断网,,P1,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
